incident_day_of_week,incident_hour,zipcode,police_district,crime,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income
Friday,0,94102.0,Central,1,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,0,94102.0,Mission,23,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,0,94102.0,Northern,53,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,0,94102.0,Southern,12,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,0,94102.0,Taraval,2,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,0,94102.0,Tenderloin,23,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,0,94103.0,Mission,3,27170.0,20036.0,14778.0,13098.0,628000.0,43364.0
Friday,0,94103.0,Out of SF,6,27170.0,20036.0,14778.0,13098.0,628000.0,43364.0
Friday,0,94103.0,Southern,75,27170.0,20036.0,14778.0,13098.0,628000.0,43364.0
Friday,0,94103.0,Tenderloin,59,27170.0,20036.0,14778.0,13098.0,628000.0,43364.0
Friday,0,94104.0,Central,22,406.0,5232.0,368.0,207.0,1000001.0,48750.0
Friday,0,94104.0,Southern,5,406.0,5232.0,368.0,207.0,1000001.0,48750.0
Friday,0,94104.0,Taraval,2,406.0,5232.0,368.0,207.0,1000001.0,48750.0
Friday,0,94104.0,Tenderloin,1,406.0,5232.0,368.0,207.0,1000001.0,48750.0
Friday,0,94105.0,Central,3,5846.0,15826.0,4601.0,3586.0,740900.0,163949.0
Friday,0,94105.0,Southern,25,5846.0,15826.0,4601.0,3586.0,740900.0,163949.0
Friday,0,94107.0,Bayview,7,26599.0,14845.0,15141.0,13736.0,719700.0,114439.0
Friday,0,94107.0,Park,3,26599.0,14845.0,15141.0,13736.0,719700.0,114439.0
Friday,0,94108.0,Central,70,13768.0,50983.0,8843.0,7628.0,856900.0,35427.0
Friday,0,94108.0,Northern,1,13768.0,50983.0,8843.0,7628.0,856900.0,35427.0
Friday,0,94108.0,Out of SF,2,13768.0,50983.0,8843.0,7628.0,856900.0,35427.0
Friday,0,94108.0,Southern,1,13768.0,50983.0,8843.0,7628.0,856900.0,35427.0
Friday,0,94108.0,Tenderloin,7,13768.0,50983.0,8843.0,7628.0,856900.0,35427.0
Friday,0,94109.0,Central,17,55984.0,47129.0,37182.0,33342.0,723200.0,60722.0
Friday,0,94109.0,Northern,37,55984.0,47129.0,37182.0,33342.0,723200.0,60722.0
Friday,0,94109.0,Tenderloin,5,55984.0,47129.0,37182.0,33342.0,723200.0,60722.0
Friday,0,94110.0,Bayview,9,69333.0,29816.0,28913.0,27128.0,768200.0,82111.0
Friday,0,94110.0,Ingleside,19,69333.0,29816.0,28913.0,27128.0,768200.0,82111.0
Friday,0,94110.0,Mission,103,69333.0,29816.0,28913.0,27128.0,768200.0,82111.0
Friday,0,94110.0,Out of SF,3,69333.0,29816.0,28913.0,27128.0,768200.0,82111.0
Friday,0,94111.0,Central,17,3713.0,10791.0,2811.0,2365.0,882000.0,89722.0
Friday,0,94112.0,Ingleside,29,79407.0,23606.0,23081.0,21975.0,602400.0,71625.0
Friday,0,94112.0,Taraval,7,79407.0,23606.0,23081.0,21975.0,602400.0,71625.0
Friday,0,94114.0,Mission,32,31124.0,21837.0,17634.0,16281.0,1000001.0,114689.0
Friday,0,94114.0,Park,12,31124.0,21837.0,17634.0,16281.0,1000001.0,114689.0
Friday,0,94115.0,Northern,20,33021.0,29596.0,18884.0,17289.0,965800.0,76952.0
Friday,0,94115.0,Park,1,33021.0,29596.0,18884.0,17289.0,965800.0,76952.0
Friday,0,94115.0,Richmond,5,33021.0,29596.0,18884.0,17289.0,965800.0,76952.0
Friday,0,94116.0,Taraval,23,43698.0,16901.0,16283.0,15445.0,734400.0,83407.0
Friday,0,94117.0,Mission,5,39169.0,23211.0,19255.0,17939.0,911500.0,94479.0
Friday,0,94117.0,Northern,8,39169.0,23211.0,19255.0,17939.0,911500.0,94479.0
Friday,0,94117.0,Park,23,39169.0,23211.0,19255.0,17939.0,911500.0,94479.0
Friday,0,94117.0,Southern,1,39169.0,23211.0,19255.0,17939.0,911500.0,94479.0
Friday,0,94118.0,Out of SF,3,38319.0,19663.0,18633.0,17171.0,1000001.0,82857.0
Friday,0,94118.0,Park,6,38319.0,19663.0,18633.0,17171.0,1000001.0,82857.0
Friday,0,94118.0,Richmond,45,38319.0,19663.0,18633.0,17171.0,1000001.0,82857.0
Friday,0,94118.0,Southern,3,38319.0,19663.0,18633.0,17171.0,1000001.0,82857.0
Friday,0,94122.0,Park,1,56023.0,23699.0,23633.0,22162.0,774500.0,81768.0
Friday,0,94122.0,Richmond,19,56023.0,23699.0,23633.0,22162.0,774500.0,81768.0
Friday,0,94122.0,Taraval,32,56023.0,23699.0,23633.0,22162.0,774500.0,81768.0
Friday,0,94123.0,Northern,26,23088.0,22622.0,15083.0,13717.0,1000001.0,112650.0
Friday,0,94124.0,Bayview,43,33996.0,6901.0,10812.0,9717.0,470400.0,50146.0
Friday,0,94124.0,Out of SF,2,33996.0,6901.0,10812.0,9717.0,470400.0,50146.0
Friday,0,94127.0,Ingleside,3,19289.0,10895.0,7801.0,7511.0,916900.0,131351.0
Friday,0,94127.0,Taraval,12,19289.0,10895.0,7801.0,7511.0,916900.0,131351.0
Friday,0,94129.0,Northern,1,3183.0,1381.0,1132.0,1086.0,,143320.0
Friday,0,94130.0,Southern,6,2880.0,3196.0,786.0,656.0,,37500.0
Friday,0,94131.0,Ingleside,5,26881.0,12926.0,13427.0,12618.0,859700.0,96889.0
Friday,0,94131.0,Mission,4,26881.0,12926.0,13427.0,12618.0,859700.0,96889.0
Friday,0,94131.0,Park,2,26881.0,12926.0,13427.0,12618.0,859700.0,96889.0
Friday,0,94132.0,Ingleside,1,28129.0,9045.0,10769.0,9993.0,733100.0,69223.0
Friday,0,94132.0,Southern,1,28129.0,9045.0,10769.0,9993.0,733100.0,69223.0
Friday,0,94132.0,Taraval,16,28129.0,9045.0,10769.0,9993.0,733100.0,69223.0
Friday,0,94134.0,Bayview,26,40798.0,17001.0,11867.0,11244.0,547800.0,56716.0
Friday,0,94134.0,Ingleside,16,40798.0,17001.0,11867.0,11244.0,547800.0,56716.0
Friday,0,94158.0,Bayview,10,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,0,94158.0,Mission,5,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,0,94158.0,Out of SF,14,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,0,94158.0,Southern,34,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,1,94102.0,Mission,8,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,1,94102.0,Northern,16,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,1,94102.0,Southern,5,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
